60745,Recetas de Aperitivos y tapas,Receta de Ceviche de surimi con mango,baja,36,10,Entrante,6 barras de surimi
60747,Recetas de Aperitivos y tapas,Receta de Empanadas de papa con chorizo,baja,25,45,Entrante,1 kilogramo de Masa de maiz
60749,Recetas de Aperitivos y tapas,Receta de Tacos dorados de papa con salsa de tomate,baja,36,45,Entrante,½ kilogramo de Papa
60750,Recetas de Aperitivos y tapas,Receta de Tostadas de surimi con camarón,baja,36,30,Entrante,6 barras de surimi
60762,Recetas de Aperitivos y tapas,Receta de Pastes hawaianos - Pastes de Hidalgo,baja,10,130,Entrante,1 kilogramo de Masa de hojaldre
60766,Recetas de Aperitivos y tapas,Receta de Burritos de choriqueso,baja,45,15,Entrante,300 gramos de chorizo
60778,Recetas de Aperitivos y tapas,Receta de Champiñones al horno con ajo y perejil,baja,28,30,Plato principal,6 champiñón
60783,Recetas de Aperitivos y tapas,Receta de Arepa de auyama sin harina de maíz,baja,28,15,Plato principal,1 kilogramo de Auyama
60784,Recetas de Aperitivos y tapas,Receta de Arepa de auyama y avena,baja,28,15,Entrante,1 taza de harina de maíz precocida
60785,Recetas de Aperitivos y tapas,Receta de Arepas de arroz con maicena,baja,28,15,Plato principal,1 taza de arroz cocido (175 gramos)
60792,Recetas de Aperitivos y tapas,Receta de Soufflé de 4 quesos,media,45,130,Entrante,½ litro de Leche
60794,Recetas de Aperitivos y tapas,Receta de Bocadillo vegetariano,baja,45,15,Plato principal,1 unidad de aguacate maduro
60797,Recetas de Aperitivos y tapas,Receta de Brochetas de carne de cerdo con piña al horno,baja,10,45,Entrante,1 kilogramo de carne de cerdo en trozos
60799,Recetas de Aperitivos y tapas,Receta de Enchiladas en salsa de aguacate y chile poblano,media,45,30,Plato principal,16 piezas de Tortilla de maíz
60805,Recetas de Aperitivos y tapas,Receta de Tostadas de champiñones con queso,baja,45,30,Entrante,8 piezas de Tortilla de maíz
60806,Recetas de Aperitivos y tapas,Receta de Tlacoyo de haba,baja,10,6,Entrante,1 kilogramo de Masa de maíz
60826,Recetas de Aperitivos y tapas,Receta de Tarta de cebolla caramelizada y queso brie,baja,45,130,Entrante,1 lámina de hojaldre rectangular
60828,Recetas de Aperitivos y tapas,Receta de Tacos al pastor veganos,baja,36,8,Entrante,3 tazas de soja texturizada
60835,Recetas de Aperitivos y tapas,Receta de Arepas de plátano maduro sin harina de maíz,baja,28,15,Plato principal,3 piezas de Plátanos maduros
60836,Recetas de Aperitivos y tapas,Receta de Arepas de espinaca con avena,baja,28,15,Entrante,1 taza de harina de maíz (120 gramos)
60837,Recetas de Aperitivos y tapas,Receta de Arepas de calabacin y cilantro,baja,45,15,Entrante,3 tazas de harina de maíz (360 gramos)
60838,Recetas de Aperitivos y tapas,Receta de Arepas de calabacín con avena,baja,28,15,Entrante,1 taza de calabacín (zucchini)
60839,Recetas de Aperitivos y tapas,Receta de Pizza con harina de maíz,baja,56,10,Plato principal,1 taza de harina de maíz (120 gramos)
60840,Recetas de Aperitivos y tapas,Receta de Arepas de papas y queso,baja,30,15,Entrante,600 gramos de Papas
60841,Recetas de Aperitivos y tapas,Receta de Arepas de batata y avena,baja,36,15,Plato principal,3 piezas de Batata
60842,Recetas de Aperitivos y tapas,Receta de Arepa de batata sin harina de maíz,baja,28,15,Entrante,3 Batatas grandes
60843,Recetas de Aperitivos y tapas,Receta de Arepas de espinaca y perejil,baja,28,15,Entrante,1 taza de harina de maíz (120 gramos)
60844,Recetas de Aperitivos y tapas,Receta de Arepas de ocumo chino,baja,36,15,Entrante,3 Ocumos chinos grandes (o taro)
60848,Recetas de Aperitivos y tapas,Receta de Arepas de plátano verde sin harina,baja,28,15,Plato principal,3 Plátano verde
60851,Recetas de Aperitivos y tapas,Receta de Quesadillas fritas de papa,baja,36,45,Entrante,1 kilogramo de Masa de maíz
60852,Recetas de Aperitivos y tapas,Receta de Sopes al estilo Guadalajara,baja,45,30,Entrante,8 piezas de tortillas para sopes
60853,Recetas de Aperitivos y tapas,Receta de Tamales de barbacoa de pollo,media,45,130,Plato principal,1 kilogramo de Muslo o pierna de pollo
